PERIODICIDADE,,
,,
INSTRUMENTO,PRAZO (MESES),DIAS
Alicate Multímetro Digital,18,540
Alicate Volt-Amperímetro (Analógico/Digital),24,720
Amperímetro (Analógico/Digital),24,720
Balança Analógica,24,720
Balança Digital,12,365
Barra Padrão para Ensaio de Dureza (Barra/Esfera),60,1800
Barra Padrão para Micrômetro Externo,60,1800
Bloco Curvo /Padrão de Calib. Phased Array,24,720
Bloco Escalonado,24,720
Bloco Padrão de Espessura (Película de Tinta),60,1800
Bloco Padrão para Ultra-Som,60,1800
Bureta,Indeterminado,Indeterminado
Calibrador de Profundidade Digital,24,720
Calibrador de Temperatura Cappo Plus,12,365
Calibre de Solda,24,720
Caneta Dosimétrica,12,365
Célula de Carga,6,180
Clinômetro,24,720
Contador Gaiger,12,365
Controlador de Temperatura (Analógico/Digital),24,720
Cronômetro,36,1080
Decibelimetro,12,365
Densitômetro (Ensaio Radiográfico),3,90
Detector de Fuga de Gás ,12,365
Detector Multigás,12,365
Dinamômetro,12,365
Durômetro Portátil ,36,1080
Eddy Current,12,365
Escada Graduada (Rígida/Flexível),30,900
Esfignomanometro,24,720
Esquadro (com ou sem escala),30,900
Esquadro Combinado,12,365
Esquadro de Lâmina,30,900
Esquadro de Precisão/ Analógico ,24,720
Estação Total/Teodolito,30,900
Extensometro ,12,365
Fasímetro,12,365
Fluxometro (bíbimetro),12,365
Goniometro,12,365
Haste Padrão,12,365
Higrômetro,24,720
Hi-Lo,24,720
Holliday Detector (Detector de Descontinuidade),18,540
Luxímetro,24,720
Manômetro de Leitura Direta,3,90
Manômetro Máquina de Jato,12,365
Manômetro Registrador de Pressão Analógico,3,90
Máquina de Medição Linear,24,720
Medidor de Camada Digital,24,720
Medidor de Camada Ferroso,24,720
Medidor de Camada Tipo Pente,24,720
Medidor de Camada Umido,24,720
Medidor de Dureza,24,720
Medidor de Espessura Digital,24,720
Medidor de Espessura por Ultra-Som,24,720
Medidor de Espessura Ultrassonico ,24,720
Medidor de Película Seca ou Úmida (até 1000 μm) ,24,720
Medidor de Película Seca ou Úmida (até 500 μm),24,720
Medidor de PH e Condutividade,24,720
Medidor de Umidade,24,720
Megômetro,24,720
Micrômetro de Profundidade ,18,540
Micrômetro Externo,18,540
Micrômetro Interno Tubular ,18,540
Micrômetro tipo Paquímetro,18,540
Monitor de Gás,12,365
Monitor Pessoal ( Se for Radiação – Sonoro ),12,365
Multímetro Digital,18,540
Nível de Bolha ,24,720
Nível Digital,24,720
Nível Ótico de Precisão/Topográfico,24,720
Nível Regular de Precisão,24,720
Oxímetro Digital,12,365
Padrão Octogonal (PM),60,1800
Paquímetro,24,720
Pastilha Sensora,24,720
Peso Padrão,36,1080
Phmetro,12,365
Pipe Locator (Detector de Metais) ,Indeterminado,Indeterminado
Pipeta,Indeterminado,Indeterminado
Pirômetro de Contato,24,720
Proveta,Indeterminado,Indeterminado
Pull-Off,24,720
Registrador de Temperatura Analógico,24,720
Régua de Aço,36,1080
Régua Graduada,36,1080
Regulador de Argônio,24,720
Regulador de Pressão ,24,720
Relógio Comparador,24,720
Rugosímetro/ Pintura / Com Relógio ,24,720
Teodolito,24,720
Termo-Higrômetro (Padrão/Demais),24,720
Termômetro Bimetálico,12,365
Termômetro de Mercúrio,12,365
Termômetro Digital de Contato,18,540
Termômetro Laser,24,720
Termopar,12,365
Terrômetro,12,365
Torquímetro,24,720
Transferidor de Ângulo / Grau,24,720
Trena (Digital),18,540
Trena (Fita),24,720
Tubo Colorido,24,720
Tubo Decantador,Indeterminado,Indeterminado
Ultrassom Automatizado,24,720
Ultrassom Phased Array,12,365
Ultrassom Portátil Digital,12,365
Válvula de Segurança- Jato,6,180
Voltímetro (Analógico/Digital),24,720
Yoke,24,720
